0, 0.0, 0.2, 0.4, 0.0, 0.0, 0.1, 0.3, 0.1, 0.0, 97.8, 
0.2, 0.0, 0.2, 0.4, 0.0, 0.0, 0.4, 0.5, 0.1, -0.2, 98.7, 
0.4, 0.0, 0.2, 0.4, 0.0, 0.0, 0.6, 0.5, 0.1, -1.8, 98.6, 
0.6, 0.0, 0.2, 0.4, 0.0, 0.0, 1.9, 0.7, 0.1, -8.2, 98.5, 
0.8, 0.0, 0.2, 0.4, 0.0, 0.0, 1.3, 0.6, 0.1, -6.0, 98.7, 
1, 0.0, 0.2, 0.4, 0.0, 0.0, 0.8, 0.6, 0.1, -3.6, 98.7, 
1.2, 0.0, 0.2, 0.4, 0.0, 0.0, 0.4, 0.5, 0.1, -1.8, 98.7, 
1.4, 0.0, 0.2, 0.4, 0.0, 0.0, 0.4, 0.5, 0.1, -0.6, 98.4, 
1.6, 0.0, 0.0, 0.0, 0.0, 99.5, 0.0, 0.6, 99.9, 85.3, 98.5, 
1.8, 0.0, 0.0, 0.0, 0.0, 99.5, 0.0, 1.4, 99.9, 78.8, 98.7, 
2, 0.0, 0.0, 0.0, 0.0, 99.4, 0.0, 4.1, 99.9, 76.1, 98.3, 
2.2, 0.0, 0.0, 0.0, 0.0, 99.8, 0.0, 12.3, 99.9, 75.2, 98.4, 
2.4, 0.0, 0.0, 0.0, 0.0, 99.9, 0.0, 26.4, 99.9, 81.7, 98.1, 
2.6, 0.0, 0.0, 0.0, 0.0, 99.9, 0.0, 18.0, 99.9, 87.5, 98.4, 
2.8, 0.0, 0.0, 0.0, 0.0, 99.9, 0.0, 14.4, 99.9, 89.9, 98.3, 
3, 0.0, 0.0, 0.0, 0.0, 99.9, 0.0, 11.8, 99.9, 90.0, 98.5, 
3.2, 0.0, 0.0, 0.0, 0.0, 99.9, 0.0, 16.9, 99.9, 85.0, 98.5, 
3.4, 0.0, 0.0, 0.0, 0.0, 99.7, 0.0, 6.1, 99.9, 80.0, 98.8, 
3.6, 0.0, 0.2, 0.6, 0.0, 0.0, 1.4, 1.4, 0.2, -9.6, 98.7, 
3.8, 0.0, 0.2, 0.4, 0.0, 0.0, 0.8, 0.6, 0.1, -4.2, 98.7, 
4, 0.0, 0.2, 0.4, 0.0, 0.0, 0.4, 0.4, 0.1, -4.4, 98.7, 
4.2, 0.0, 0.2, 0.4, 0.0, 0.0, 1.3, 0.4, 5.3, -46.6, 98.8, 
4.4, 0.0, 0.2, 0.4, 0.0, 0.0, 8.7, 0.6, 41.0, -80.3, 98.6, 
4.6, 0.0, 0.2, 0.4, 0.0, 0.0, 11.7, 0.6, 45.6, -83.7, 98.7, 
4.8, 0.0, 0.2, 0.4, 0.0, 0.0, 13.0, 0.4, 57.9, -84.3, 98.1, 
